region,type_territoire,annee,population_totale,age_median,age_moyen,PIB_region,PIB_par_habitant,revenu_disponible_habitant,taux_activite,taux_chomage,taux_emploi
Abitibi-Témiscamingue,Région administrative,2011,146 683,42.1,40.6,7396953,50428,24 887,65.7,7.8,60.6
Côte-Nord et Nord-du-Québec,Région administrative,2011,138 711,,37.7,10278461,74100,23920,62.3,8,57.3
Gaspésie-Îles-de-la-Madeleine,Région administrative,2011,94 473,48.9,45.6,2705967,28643,21 362,55.3,12.9,48.2
Chaudière-Appalaches,Région administrative,2011,414 427,43.1,41.7,14313029,34537,23 137,69.2,5.2,65.6
Laval,Région administrative,2011,406 098,40.6,40.1,12746026,31387,24 571,66.1,7,61.5
Lanaudière,Région administrative,2011,476 937,41.2,40,11273265,23637,23 704,68.7,7.7,63.4
Laurentides,Région administrative,2011,566 683,41.8,40.3,16757239,29571,24 890,67.7,8.4,62
Montérégie,Région administrative,2011,1 469 505,41.3,40.4,47672196,32441,25 392,65.9,7.1,61.3
Centre-du-Québec,Région administrative,2011,236 184,43.3,41.9,8031781,34006,21 878,61.1,7.3,56.6
Bas-Saint-Laurent,Région administrative,2012,201 264,47.9,44.6,6472604,32160,22 294,61.1,8.2,56.1
Saguenay-Lac-Saint-Jean,Région administrative,2012,278 120,45.5,42.9,10006290,35978,23 626,60.7,8,55.8
Capitale-Nationale,Région administrative,2012,717 099,42.9,42.4,33059123,46101,26 213,67.9,5.5,64.2
Mauricie,Région administrative,2012,266 245,47.6,44.7,8243505,30962,22 682,56.2,9.6,50.8
Estrie,Région administrative,2012,315 869,43.3,42.1,10386305,32882,23 499,60.5,8.1,55.6
Montréal,Région administrative,2012,1 938 385,38.6,40.2,113742670,58679,25 931,63.9,10.1,57.5
Outaouais,Région administrative,2012,377 812,40.2,39.6,11473582,30368,24 316,67.3,6.5,62.9
Abitibi-Témiscamingue,Région administrative,2012,147 577,42.2,40.8,7210556,48860,25 859,63.2,6.8,58.9
Côte-Nord et Nord-du-Québec,Région administrative,2012,139 249,,38,10594654,76084,25264,61,7.7,56.4
Gaspésie-Îles-de-la-Madeleine,Région administrative,2012,94 255,49.6,46,2629054,27893,22 306,52.9,12.8,46
Chaudière-Appalaches,Région administrative,2012,416 878,43.4,42,14185248,34027,24 129,66.4,4.6,63.4
Laval,Région administrative,2012,412 021,40.7,40.3,13288588,32252,25 013,68.2,8.4,62.5
Lanaudière,Région administrative,2012,483 936,41.4,40.3,11588280,23946,24 314,65.4,7.7,60.3
Laurentides,Région administrative,2012,574 654,42.1,40.7,17419713,30313,25 804,68.1,6.8,63.5
Montérégie,Région administrative,2012,1 484 598,41.6,40.7,49056844,33044,26 120,66.8,6.5,62.5
Centre-du-Québec,Région administrative,2012,237 944,43.6,42.2,8200372,34463,22 864,59.7,8.2,54.7
Bas-Saint-Laurent,Région administrative,2013,201 148,48.3,44.9,6828837,33949,23 103,57.9,9.9,52.1
Saguenay-Lac-Saint-Jean,Région administrative,2013,278 309,45.8,43.2,10067888,36175,24 345,60.5,9,55
Capitale-Nationale,Région administrative,2013,723 481,43,42.6,34155290,47210,26 910,66.9,5.1,63.6
Mauricie,Région administrative,2013,266 766,48,44.9,8486015,31811,23 307,53.3,9.3,48.4
Estrie,Région administrative,2013,318 056,43.5,42.4,10709911,33673,24 166,62.4,6.4,58.4
Montréal,Région administrative,2013,1 959 869,38.5,40.2,117534285,59970,25 952,64.9,9.6,58.7
Outaouais,Région administrative,2013,380 607,40.4,39.8,11658706,30632,25 242,65.8,6.7,61.3
Abitibi-Témiscamingue,Région administrative,2013,148 128,42.4,41,7356310,49662,26 328,67.2,7.1,62.4
Côte-Nord et Nord-du-Québec,Région administrative,2013,139 617,,38.1,10727690,76837,25752,62.4,7.8,57.5
Gaspésie-Îles-de-la-Madeleine,Région administrative,2013,93 542,50.2,46.4,2737473,29265,22 968,54.2,15.8,45.6
Chaudière-Appalaches,Région administrative,2013,418 829,43.7,42.3,14759751,35241,24 749,66.7,5.5,63
Laval,Région administrative,2013,417 325,40.9,40.4,13576577,32532,25 700,68.7,6.6,64.2
Lanaudière,Région administrative,2013,489 481,41.6,40.5,11785749,24078,25 096,66.2,8.3,60.8
Laurentides,Région administrative,2013,581 320,42.5,41,18115520,31163,26 426,68.7,7.2,63.8
Montérégie,Région administrative,2013,1 499 399,47.2,40.9,49920890,33294,26 780,66.7,6.3,62.5
Centre-du-Québec,Région administrative,2013,239 628,43.8,42.4,8428347,35173,23 392,60.8,7.2,56.4
Bas-Saint-Laurent,Région administrative,2014,200 732,48.8,45.3,6969754,34722,23 515,54.8,9,49.9
Saguenay-Lac-Saint-Jean,Région administrative,2014,278 200,46,43.5,10425576,37475,24 654,60.7,9.9,54.6
Capitale-Nationale,Région administrative,2014,729 035,43.1,42.8,35194309,48275,27 391,67.1,5.5,63.4
Mauricie,Région administrative,2014,267 539,48.3,45.2,8719214,32590,23 694,55.6,8.6,50.8
Estrie,Région administrative,2014,320 055,43.7,42.7,11030917,34466,24 616,62.4,6.8,58.2
Montréal,Région administrative,2014,1 977 724,38.5,40.3,121985946,61680,26 637,63.6,9.8,57.3
Outaouais,Région administrative,2014,383 190,40.7,40.1,12014824,31355,25 106,65.8,7.4,60.9
Abitibi-Témiscamingue,Région administrative,2014,148 311,42.6,41.3,7248382,48873,26 566,67,7.2,62.1
Côte-Nord et Nord-du-Québec,Région administrative,2014,139 316,,38.5,10102732,72517,25939,58.2,8.8,53.1
Gaspésie-Îles-de-la-Madeleine,Région administrative,2014,92 866,50.9,46.9,2884104,31057,23 469,56.6,16.4,47.5
Chaudière-Appalaches,Région administrative,2014,420 493,44,42.5,15359218,36527,25 468,67.7,5.3,64.1
Laval,Région administrative,2014,421 959,41.1,40.7,13966731,33100,25 942,70.2,7.1,65.2
Lanaudière,Région administrative,2014,494 058,41.9,40.9,12248352,24791,25 471,65.4,7.8,60.3
Laurentides,Région administrative,2014,587 840,42.8,41.3,18477142,31432,26 864,65.2,7.1,60.6
Montérégie,Région administrative,2014,1 512 040,42,41.2,51468517,34039,27 291,67.6,6.5,63.2
Centre-du-Québec,Région administrative,2014,241 145,44.1,42.7,8642622,35840,23 755,59.9,6.9,55.8
Bas-Saint-Laurent,Région administrative,2015,200 120,49.2,45.6,6826531,34112,24 465,54,8,49.7
Saguenay-Lac-Saint-Jean,Région administrative,2015,277 713,46.3,43.9,10362485,37314,25 331,60.3,8.3,55.3
Capitale-Nationale,Région administrative,2015,733 024,43.2,43,35435944,48342,28 279,68.2,4.7,65
Mauricie,Région administrative,2015,267 666,48.7,45.5,8955256,33457,24 477,56,7.9,51.6
Estrie,Région administrative,2015,321 464,44,42.9,11258803,35024,25 365,61,6.5,57.1
Montréal,Région administrative,2015,1 990 637,38.6,40.4,123940642,62262,27 140,65,10.5,58.2
Outaouais,Région administrative,2015,385 222,41,40.4,12612006,32740,25 610,67.9,7.4,62.9
Abitibi-Témiscamingue,Région administrative,2015,148 024,42.8,41.5,7131431,48178,27 118,63,7,58.6
Côte-Nord et Nord-du-Québec,Région administrative,2015,138 552,,38.8,9669882,69792,26066,61,9.8,55.1
Gaspésie-Îles-de-la-Madeleine,Région administrative,2015,92 333,51.4,47.2,3134128,33944,24 458,54,14.7,46
Chaudière-Appalaches,Région administrative,2015,422 546,44.2,42.8,16605395,39298,26 750,66,5,62.6
Laval,Région administrative,2015,425 481,41.3,40.9,14649305,34430,26 453,64.7,8,59.5
Lanaudière,Région administrative,2015,497 684,42.2,41.1,12793370,25706,26 108,67.7,8.4,62
Laurentides,Région administrative,2015,594 160,43.1,41.6,19850684,33410,27 654,67.4,6.1,63.3
Montérégie,Région administrative,2015,1 522 581,42.2,41.4,54410146,35735,28 026,66,5.9,62
Centre-du-Québec,Région administrative,2015,242 245,44.3,43,8757793,36153,24 888,62.3,6.7,58.1
Bas-Saint-Laurent,Région administrative,2016,199 983,49.5,45.9,7053438,35270,,55.9,8.1,51.4
Saguenay-Lac-Saint-Jean,Région administrative,2016,277 232,46.6,44.2,10477707,37794,,59.5,7.9,54.7
Capitale-Nationale,Région administrative,2016,737 857,43.2,43.2,36502389,49471,,68.4,4.6,65.3
Mauricie,Région administrative,2016,268 198,49,45.7,9117005,33994,,57.9,7.1,53.8
Estrie,Région administrative,2016,324 009,44.2,43.2,11564169,35691,,60.2,6.1,56.5
Montréal,Région administrative,2016,2 014 221,38.7,40.4,127616718,63358,,65.5,9.5,59.3
Outaouais,Région administrative,2016,389 139,41.2,40.6,12823087,32952,,66.8,7.2,62
Abitibi-Témiscamingue,Région administrative,2016,147 982,42.9,41.8,7407970,50060,,65,6.6,60.7
Côte-Nord et Nord-du-Québec,Région administrative,2016,137 648,,39.1,9887031,71828,,64.2,8.7,58.8
Gaspésie-Îles-de-la-Madeleine,Région administrative,2016,91 781,52,47.6,3318808,36160,,53.3,14.6,45.5
Chaudière-Appalaches,Région administrative,2016,424 856,44.5,43.1,16951322,39899,,65,5.5,61.5
Laval,Région administrative,2016,429 413,41.5,41.1,15061576,35075,,64.5,7.3,59.8
Lanaudière,Région administrative,2016,502 152,42.4,41.4,13209493,26306,,64.2,6.5,60
Laurentides,Région administrative,2016,601 699,43.3,41.9,20203304,33577,,66.1,5.8,62.3
Montérégie,Région administrative,2016,1 536 121,42.4,41.7,56372558,36698,,65.2,6,61.3
Centre-du-Québec,Région administrative,2016,243 798,44.5,43.3,9070427,37205,,64.5,5.3,61.1
Bas-Saint-Laurent,Région administrative,2002,,,,,,15 609,,,
Bas-Saint-Laurent,Région administrative,2003,,,,,,16 084,,,
Bas-Saint-Laurent,Région administrative,2004,,,,,,16 812,,9.3,
Bas-Saint-Laurent,Région administrative,2005,,,,,,17 032,,8.5,
Bas-Saint-Laurent,Région administrative,2006,,,,,,17 756,60.4,9,55
Saguenay-Lac-Saint-Jean,Région administrative,2002,,,,,,16 346,,,
Saguenay-Lac-Saint-Jean,Région administrative,2003,,,,,,16 872,,,
Saguenay-Lac-Saint-Jean,Région administrative,2004,,,,,,17 607,,11.9,
Saguenay-Lac-Saint-Jean,Région administrative,2005,,,,,,17 839,,10.7,
Saguenay-Lac-Saint-Jean,Région administrative,2006,,,,,,18 620,61.3,10.6,54.8
Capitale-Nationale,Région administrative,2002,,,,,,18 901,,,
Capitale-Nationale,Région administrative,2003,,,,,,19 345,,,
Capitale-Nationale,Région administrative,2004,,,,,,20 083,,5.8,
Capitale-Nationale,Région administrative,2005,,,,,,20 394,,5.8,
Capitale-Nationale,Région administrative,2006,,,,,,21 335,65.2,5.6,61.5
Mauricie,Région administrative,2002,,,,,,16 714,,,
Mauricie,Région administrative,2003,,,,,,17 122,,,
Mauricie,Région administrative,2004,,,,,,17 571,,10.8,
Mauricie,Région administrative,2005,,,,,,17 957,,9.8,
Mauricie,Région administrative,2006,,,,,,18 780,57.2,8.9,52.2
Estrie,Région administrative,2002,,,,,,17 600,,,
Estrie,Région administrative,2003,,,,,,17 911,,,
Estrie,Région administrative,2004,,,,,,18 527,,7.7,
Estrie,Région administrative,2005,,,,,,18 626,,6.5,
Estrie,Région administrative,2006,,,,,,19 587,64.5,8.3,59.2
Montréal,Région administrative,2002,,,,,,19 682,,,
Montréal,Région administrative,2003,,,,,,20 219,,,
Montréal,Région administrative,2004,,,,,,21 032,,10.3,
Montréal,Région administrative,2005,,,,,,21 301,,10.7,
Montréal,Région administrative,2006,,,,,,22 201,65.9,10.2,59.2
Outaouais,Région administrative,2002,,,,,,18 140,,,
Outaouais,Région administrative,2003,,,,,,18 575,,,
Outaouais,Région administrative,2004,,,,,,19 169,,7.6,
Outaouais,Région administrative,2005,,,,,,19 550,,7,
Outaouais,Région administrative,2006,,,,,,20 524,68.2,6.1,64.1
Abitibi-Témiscamingue,Région administrative,2002,,,,,,16 541,,,
Abitibi-Témiscamingue,Région administrative,2003,,,,,,16 908,,,
Abitibi-Témiscamingue,Région administrative,2004,,,,,,17 780,,10.6,
Abitibi-Témiscamingue,Région administrative,2005,,,,,,18 042,,9.2,
Abitibi-Témiscamingue,Région administrative,2006,,,,,,18 818,63.9,9.2,58
Côte-Nord et Nord-du-Québec,Région administrative,2002,,,,,,,,,
Côte-Nord et Nord-du-Québec,Région administrative,2003,,,,,,,,,
Côte-Nord et Nord-du-Québec,Région administrative,2004,,,,,,,,11.7,
Côte-Nord et Nord-du-Québec,Région administrative,2005,,,,,,,,8.2,
Côte-Nord et Nord-du-Québec,Région administrative,2006,,,,,,,62.6,8.2,57.5
Gaspésie-Îles-de-la-Madeleine,Région administrative,2002,,,,,,15 063,,,
Gaspésie-Îles-de-la-Madeleine,Région administrative,2003,,,,,,15 919,,,
Gaspésie-Îles-de-la-Madeleine,Région administrative,2004,,,,,,16 555,,19.4,
Gaspésie-Îles-de-la-Madeleine,Région administrative,2005,,,,,,16 601,,17.7,
Gaspésie-Îles-de-la-Madeleine,Région administrative,2006,,,,,,16 921,50.8,18.4,41.4
Chaudière-Appalaches,Région administrative,2002,,,,,,17 258,,,
Chaudière-Appalaches,Région administrative,2003,,,,,,17 594,,,
Chaudière-Appalaches,Région administrative,2004,,,,,,18 175,,6.5,
Chaudière-Appalaches,Région administrative,2005,,,,,,18 528,,6.4,
Chaudière-Appalaches,Région administrative,2006,,,,,,19 660,67.4,5.9,63.5
Laval,Région administrative,2002,,,,,,19 347,,,
Laval,Région administrative,2003,,,,,,19 816,,,
Laval,Région administrative,2004,,,,,,20 348,,8.3,
Laval,Région administrative,2005,,,,,,20 881,,7.9,
Laval,Région administrative,2006,,,,,,21 734,65.8,6.7,61.4
Lanaudière,Région administrative,2002,,,,,,17 683,,,
Lanaudière,Région administrative,2003,,,,,,18 271,,,
Lanaudière,Région administrative,2004,,,,,,18 804,,7.6,
Lanaudière,Région administrative,2005,,,,,,19 265,,6.2,
Lanaudière,Région administrative,2006,,,,,,20 241,66,5.7,62.2
Laurentides,Région administrative,2002,,,,,,18 887,,,
Laurentides,Région administrative,2003,,,,,,19 471,,,
Laurentides,Région administrative,2004,,,,,,20 221,,6.9,
Laurentides,Région administrative,2005,,,,,,20 694,,7.5,
Laurentides,Région administrative,2006,,,,,,21 689,65,7.9,59.9
Montérégie,Région administrative,2002,,,,,,19 149,,,
Montérégie,Région administrative,2003,,,,,,19 644,,,
Montérégie,Région administrative,2004,,,,,,20 386,,7.1,
Montérégie,Région administrative,2005,,,,,,20 850,,6.9,
Montérégie,Région administrative,2006,,,,,,21 801,67.5,7.4,62.6
Centre-du-Québec,Région administrative,2002,,,,,,16 601,,,
Centre-du-Québec,Région administrative,2003,,,,,,16 831,,,
Centre-du-Québec,Région administrative,2004,,,,,,17 317,,8.3,
Centre-du-Québec,Région administrative,2005,,,,,,17 695,,7.9,
Centre-du-Québec,Région administrative,2006,,,,,,19 239,68.5,7.3,63.5
Ensemble du Québec,Province,2002,,,,,,18 467,,,
Ensemble du Québec,Province,2003,,,,,,18 958,,,
Ensemble du Québec,Province,2004,,,,,,19 663,,8.5,
Ensemble du Québec,Province,2005,,,,,,20 011,,8.2,
Ensemble du Québec,Province,2006,,,,,,20 941,65.4,8.1,60.1
Ensemble du Québec,Province,2007,7 692 736,,40,284478969,36980,21 755,65.7,7.3,60.9
Ensemble du Québec,Province,2008,7 761 504,,40.3,292556764,37693,22 882,65.6,7.2,60.8
Ensemble du Québec,Province,2009,7 843 475,,40.5,292519349,37295,23 155,65.2,8.6,59.6
Ensemble du Québec,Province,2010,7 929 365,,40.7,305484664,38526,23 738,65.3,8,60.1
Ensemble du Québec,Province,2011,8 007 656,,40.9,319832814,39941,24 393,65.1,7.9,59.9
Ensemble du Québec,Province,2012,8 085 906,,41.1,327557388,40510,25 153,64.8,7.7,59.8
Ensemble du Québec,Province,2013,8 155 505,,41.3,336849239,41303,25 677,65,7.6,60.1
Ensemble du Québec,Province,2014,8 214 503,,41.5,346738340,42211,26 152,64.7,7.7,59.7
Ensemble du Québec,Province,2015,8 259 452,,41.7,356393801,43150,26 857,64.8,7.6,59.9
Bas-Saint-Laurent,Région administrative,2017,,,,,,,53.5,6.1,50.1
Bas-Saint-Laurent,Région administrative,2018,,,,,,,57.3,5.4,54.3
Bas-Saint-Laurent,Région administrative,2019,,,,,,,58.5,5.5,55.3
Saguenay-Lac-Saint-Jean,Région administrative,2017,,,,,,,60,6.9,55.9
Saguenay-Lac-Saint-Jean,Région administrative,2018,,,,,,,57.4,6.1,53.9
Saguenay-Lac-Saint-Jean,Région administrative,2019,,,,,,,59.2,5.5,55.9
Capitale-Nationale,Région administrative,2017,,,,,,,67.9,4.7,64.7
Capitale-Nationale,Région administrative,2018,,,,,,,66.1,4.1,63.4
Capitale-Nationale,Région administrative,2019,,,,,,,67.2,3.5,64.9
Mauricie,Région administrative,2017,,,,,,,56.6,6,53.2
Mauricie,Région administrative,2018,,,,,,,55.6,5.1,52.7
Mauricie,Région administrative,2019,,,,,,,56.8,5.5,53.7
Estrie,Région administrative,2017,,,,,,,60.5,5,57.4
Estrie,Région administrative,2018,,,,,,,61.7,4.7,58.8
Estrie,Région administrative,2019,,,,,,,61.9,4.3,59.2
Montréal,Région administrative,2017,,,,,,,66.5,8.2,61.1
Montréal,Région administrative,2018,,,,,,,66.3,7.2,61.6
Montréal,Région administrative,2019,,,,,,,67.3,7.2,62.5
Outaouais,Région administrative,2017,,,,,,,65.9,5.6,62.3
Outaouais,Région administrative,2018,,,,,,,65.9,4.9,62.7
Outaouais,Région administrative,2019,,,,,,,66.9,5,63.6
Abitibi-Témiscamingue,Région administrative,2017,,,,,,,65.7,5.1,62.4
Abitibi-Témiscamingue,Région administrative,2018,,,,,,,66.1,3.8,63.6
Abitibi-Témiscamingue,Région administrative,2019,,,,,,,66.6,3.9,64
Côte-Nord et Nord-du-Québec,Région administrative,2017,,,,,,,64,6,60.1
Côte-Nord et Nord-du-Québec,Région administrative,2018,,,,,,,63.6,4.9,60.4
Côte-Nord et Nord-du-Québec,Région administrative,2019,,,,,,,63.7,4.8,60.7
Gaspésie-Îles-de-la-Madeleine,Région administrative,2017,,,,,,,54.8,11.7,48.4
Gaspésie-Îles-de-la-Madeleine,Région administrative,2018,,,,,,,51.8,12.9,45.1
Gaspésie-Îles-de-la-Madeleine,Région administrative,2019,,,,,,,50.9,13,44.3
Chaudière-Appalaches,Région administrative,2017,,,,,,,63.3,3.5,61.1
Chaudière-Appalaches,Région administrative,2018,,,,,,,64.6,3.3,62.5
Chaudière-Appalaches,Région administrative,2019,,,,,,,64.8,3.3,62.6
Laval,Région administrative,2017,,,,,,,65.7,6.7,61.3
Laval,Région administrative,2018,,,,,,,68.9,5.3,65.3
Laval,Région administrative,2019,,,,,,,62.2,4.3,59.5
Lanaudière,Région administrative,2017,,,,,,,66.1,5.6,62.4
Lanaudière,Région administrative,2018,,,,,,,63.6,5.8,59.9
Lanaudière,Région administrative,2019,,,,,,,64.5,4.1,61.9
Laurentides,Région administrative,2017,,,,,,,64.4,6.2,60.4
Laurentides,Région administrative,2018,,,,,,,64.3,5.6,60.7
Laurentides,Région administrative,2019,,,,,,,64.4,4.4,61.5
Montérégie,Région administrative,2017,,,,,,,66.5,4.6,63.4
Montérégie,Région administrative,2018,,,,,,,65.9,4.5,62.9
Montérégie,Région administrative,2019,,,,,,,65.6,4.1,62.9
Centre-du-Québec,Région administrative,2017,,,,,,,63.4,5.7,59.8
Centre-du-Québec,Région administrative,2018,,,,,,,61,5.5,57.6
Centre-du-Québec,Région administrative,2019,,,,,,,64,3.9,61.5
Saguenay,Région métropolitaine,2006,,,,,,,61.1,8.9,55.6
Saguenay,Région métropolitaine,2007,,,,,,,61.3,8.9,55.8
Saguenay,Région métropolitaine,2008,,,,,,,60.3,8.4,55.2
Saguenay,Région métropolitaine,2009,,,,,,,60.9,8.7,55.6
Saguenay,Région métropolitaine,2010,,,,,,,59.8,8.3,54.9
Saguenay,Région métropolitaine,2011,,,,,,,57.6,7.3,53.4
Saguenay,Région métropolitaine,2012,,,,,,,61.3,7.6,56.6
Saguenay,Région métropolitaine,2013,,,,,,,61.5,7.7,56.8
Saguenay,Région métropolitaine,2014,,,,,,,62.4,9.6,56.4
Saguenay,Région métropolitaine,2015,,,,,,,60.4,7.8,55.6
